country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Seychelles,Africa,3566,16.0,2962.0,588.0,,36100,162.0,5200.0,52642.0,98780
Sierra Leone,Africa,3947,79.0,2789.0,1079.0,,488,10.0,116448.0,14391.0,8091637
Singapore,Asia,60152,30.0,60014.0,108.0,,10225,5.0,8055714.0,1369308.0,5883054
Sint Maarten,North America,2093,27.0,2051.0,15.0,1.0,48424,625.0,22027.0,509625.0,43222
Slovakia,Europe,344470,8814.0,255300.0,80356.0,703.0,63072,1614.0,2235889.0,409389.0,5461528
Slovenia,Europe,203544,3951.0,189333.0,10260.0,85.0,97898,1900.0,993180.0,477687.0,2079142
Solomon Islands,Australia/Oceania,18,,16.0,2.0,,26,,4500.0,6440.0,698764
Somalia,Africa,9600,392.0,4329.0,4879.0,,592,24.0,,,16205429
South Africa,Africa,1533961,51724.0,1459894.0,22343.0,546.0,25635,864.0,9556404.0,159701.0,59839180
South Korea,Asia,97757,1690.0,89523.0,6544.0,101.0,1906,33.0,7264941.0,141615.0,51300648
South Sudan,Africa,9768,106.0,8215.0,1447.0,2.0,865,9.0,123306.0,10925.0,11286866
Spain,Europe,3212332,72910.0,2945446.0,193976.0,1997.0,68687,1559.0,41114319.0,879118.0,46767694
Sri Lanka,Asia,89024,537.0,85944.0,2543.0,,4145,25.0,2274509.0,105904.0,21477183
State Of Palestine,Asia,218061,2358.0,193578.0,22125.0,190.0,42055,455.0,1336914.0,257837.0,5185110
Sudan,Africa,29135,1959.0,23583.0,3593.0,,654,44.0,,,44571791
Suriname,South America,9049,176.0,8534.0,339.0,3.0,15328,298.0,43294.0,73334.0,590367
Swaziland,Africa,17267,664.0,15936.0,667.0,36.0,14775,568.0,156966.0,134309.0,1168695
Sweden,Europe,738537,13236.0,,,251.0,72805,1305.0,6627544.0,653342.0,10144069
Switzerland,Europe,578861,10183.0,534217.0,34461.0,145.0,66539,1171.0,5561017.0,639224.0,8699631
Syria,Asia,16925,1130.0,11322.0,4473.0,,951,63.0,,,17800544
Taiwan,Asia,1004,10.0,959.0,35.0,,42,,459223.0,19257.0,23847502
Tajikistan,Asia,13308,90.0,13218.0,0.0,,1374,9.0,,,9688895
Tanzania,Africa,509,21.0,183.0,305.0,7.0,8,,,,60931857
Thailand,Asia,27594,90.0,26450.0,1054.0,1.0,395,1.0,8014926.0,114622.0,69924787
Timor Leste,Asia,229,,110.0,119.0,,171,,33914.0,25381.0,1336205
Togo,Africa,8582,102.0,7078.0,1402.0,,1020,12.0,257565.0,30605.0,8415650
Trinidad And Tobago,North America,7812,140.0,7549.0,123.0,2.0,5569,100.0,103999.0,74141.0,1402716
Tunisia,Africa,243935,8490.0,210983.0,24462.0,266.0,20488,713.0,1050963.0,88268.0,11906439
Turkey,Asia,2950603,29777.0,2770638.0,150188.0,1503.0,34720,350.0,35787480.0,421111.0,84983449
Turks And Caicos Islands,North America,2253,15.0,2109.0,129.0,7.0,57639,384.0,18103.0,463134.0,39088
Uganda,Africa,40625,334.0,15110.0,25181.0,,869,7.0,910045.0,19464.0,46756213
UK,Europe,4280882,125926.0,3593136.0,561820.0,968.0,62825,1848.0,110914005.0,1627741.0,68139835
Ukraine,Europe,1519926,29515.0,1248782.0,241629.0,177.0,34904,678.0,7520147.0,172695.0,43545901
United Arab Emirates,Asia,434465,1424.0,416105.0,16936.0,,43555,143.0,34674399.0,3476061.0,9975198
Uruguay,South America,76816,749.0,64492.0,11575.0,151.0,22059,215.0,1185490.0,340433.0,3482305
USA,North America,30358880,552470.0,22523799.0,7282611.0,9208.0,91337,1662.0,385670441.0,1160316.0,332383837
Uzbekistan,Asia,81095,622.0,79631.0,842.0,23.0,2398,18.0,1377915.0,40751.0,33813014
Vanuatu,Australia/Oceania,3,,1.0,2.0,,10,,470.0,1505.0,312210
Venezuela,South America,148208,1467.0,139314.0,7427.0,156.0,5223,52.0,3044649.0,107288.0,28378403
Viet Nam,Asia,2570,35.0,2198.0,337.0,,26,,2598753.0,26528.0,97960938
Wallis And Futuna Islands,Australia/Oceania,276,,7.0,269.0,1.0,24869,,1331.0,119932.0,11098
Western Sahara,Africa,10,1.0,8.0,1.0,,16,2.0,,,607697
Yemen,Asia,3126,723.0,1520.0,883.0,23.0,103,24.0,17404.0,575.0,30289860
Zambia,Africa,85889,1175.0,82527.0,2187.0,125.0,4582,63.0,1180598.0,62977.0,18746451
Zimbabwe,Africa,36611,1509.0,34226.0,876.0,22.0,2438,100.0,363872.0,24232.0,15016277
